ID,EDGE_TYPE,HEAD_ENTITY,TAIL_ENTITY
232,SubclassOf,tea leaf,non-alcoholic beverage
233,SubclassOf,chicken,poultry
234,SubclassOf,oolong,tea leaf
235,SubclassOf,goose,domesticated bird
236,InstanceOf,Masala chai,milk tea
237,SubclassOf,bubble tea,milk tea
238,SubclassOf,gull,seabird
239,InstanceOf,mung,food
240,SubclassOf,human,animal
241,SubclassOf,coffee,non-alcoholic beverage
242,InstanceOf,dulce de leche,food
243,SubclassOf,drip coffee,coffee
244,SubclassOf,lemonade,non-alcoholic beverage
245,SubclassOf,marmalade,fruit preserves
246,SubclassOf,7 Up,lemonade
247,SubclassOf,baggage,product
248,SubclassOf,atole,non-alcoholic beverage
249,SubclassOf,orange marmalade,marmalade
250,SubclassOf,bag,baggage
251,SubclassOf,maraschino,fruit preserves
252,SubclassOf,carpetbag,bag
253,SubclassOf,garment bag,bag
254,SubclassOf,gripsack,bag
255,SubclassOf,overnight case,bag
256,SubclassOf,valise,overnight case
257,InstanceOf,Rissole,food
258,SubclassOf,cabbage roll,stuffed food
259,SubclassOf,dressing case,baggage
260,SubclassOf,imperial,baggage
261,InstanceOf,Waze,product
262,SubclassOf,laudanum,Opium tincture
263,InstanceOf,Galloway,geographic region
264,InstanceOf,Central London,geographic region
265,SubclassOf,malt,product
266,SubclassOf,Four Loko,Malt beverage
267,SubclassOf,Milo,malt
268,InstanceOf,gift wrapping,product
269,SubclassOf,cigarette,tobacco product
270,SubclassOf,cigar,tobacco product
271,SubclassOf,cheroot,cigar
272,SubclassOf,tapioca ball,pearl
273,InstanceOf,chlorella,food
274,InstanceOf,fish and chips,food
275,InstanceOf,beef bourguignon,food
276,InstanceOf,cos lettuce,food
277,InstanceOf,corn fritter,food
278,InstanceOf,anise,food
279,SubclassOf,bullet,projectile
280,SubclassOf,barmbrack,traditional food
281,InstanceOf,cranberry,food
282,InstanceOf,Tibet,geographic region
283,InstanceOf,Scandinavia,geographic region
284,InstanceOf,strawberry,food
285,InstanceOf,Northeast,geographic region
286,InstanceOf,Transylvania,geographic region
287,InstanceOf,Provence,geographic region
288,InstanceOf,New World,geographic region
289,InstanceOf,Northern California,geographic region
290,SubclassOf,pork sausage,food
291,SubclassOf,banger,pork sausage
292,SubclassOf,knockwurst,pork sausage
293,InstanceOf,Bluegrass Country,geographic region
294,InstanceOf,filbert,food
295,InstanceOf,Manuka honey,food
296,InstanceOf,rolled oats,food
297,InstanceOf,Glycine max,food
298,InstanceOf,tzatziki,food
299,InstanceOf,corned beef,food
300,InstanceOf,potato,food
301,InstanceOf,tempeh,food
302,SubclassOf,quark,food
303,SubclassOf,pot cheese,quark
304,InstanceOf,petit four,food
305,InstanceOf,fufu,food
306,SubclassOf,profiterole,food
307,SubclassOf,cream puff,profiterole
308,SubclassOf,eclair,cream puff
309,SubclassOf,chocolate eclair,eclair
310,InstanceOf,Torrid Zone,geographic region
311,InstanceOf,Sahel,geographic region
312,InstanceOf,Peloponnese,geographic region
313,InstanceOf,condensed milk,food
314,SubclassOf,thyme,food
315,SubclassOf,Thymus vulgaris,thyme
316,SubclassOf,wild thyme,thyme
317,InstanceOf,Old World,geographic region
318,InstanceOf,Bible Belt,geographic region
319,InstanceOf,East Anglia,geographic region
320,SubclassOf,West Indies,geographic region
321,SubclassOf,British West Indies,West Indies
322,InstanceOf,Hindustan,geographic region
323,InstanceOf,Austronesia,geographic region
324,InstanceOf,gooseberry,food
325,InstanceOf,Northern America,geographic region
326,InstanceOf,Dice 10000,tabletop game
327,InstanceOf,Jenga,tabletop game
328,InstanceOf,mahjong,tabletop game
329,InstanceOf,Ariana,geographic region
330,SubclassOf,hot dog,food
331,SubclassOf,Vienna sausage,hot dog
332,SubclassOf,chili dog,hot dog
333,SubclassOf,cheese,food
334,InstanceOf,Camembert,cheese
335,InstanceOf,Ricotta,cheese
336,InstanceOf,Brie,cheese
337,InstanceOf,Cheddar,cheese
338,HasAttribute,Cheddar,hard
339,SubclassOf,card game,tabletop game
340,InstanceOf,contract bridge,card game
341,SubclassOf,paneer,Indian cheese
342,SubclassOf,nut,food
343,SubclassOf,pistachio,nut
344,SubclassOf,kola nut,nut
345,SubclassOf,meal,food
346,InstanceOf,baccarat,card game
347,InstanceOf,Ceviche,meal
348,InstanceOf,Euchre,card game
349,SubclassOf,brunch,lunch
350,SubclassOf,Olivier salad,zakuski
351,InstanceOf,old maid,card game
352,InstanceOf,Nepal,geographic region
353,InstanceOf,South Pole,geographic region
354,HasAttribute,South Pole,cold
355,InstanceOf,Limousin,geographic region
356,InstanceOf,Four Corners,geographic region
357,InstanceOf,Bohemia,geographic region
358,InstanceOf,Manchuria,geographic region
359,InstanceOf,Levant,geographic region
360,SubclassOf,cassino,card game
361,SubclassOf,royal cassino,cassino
362,InstanceOf,Bosnia,geographic region
363,HasAttribute,Bosnia,Balkan
364,SubclassOf,spade casino,casino
365,SubclassOf,shepherd's pie,meal
366,InstanceOf,Lake District,geographic region
367,SubclassOf,salad,food
368,InstanceOf,potato salad,salad
369,InstanceOf,Tabbouleh,salad
370,InstanceOf,yam,salad
371,InstanceOf,chef's salad,salad
372,InstanceOf,Coats Land,geographic region
373,SubclassOf,salad nicoise,salad
374,InstanceOf,Southern California,geographic region
375,InstanceOf,Spades,card game
376,SubclassOf,seed,food
377,InstanceOf,Middle East and North Africa,geographic region
378,InstanceOf,Asia-Pacific,geographic region
379,InstanceOf,Enderby Land,geographic region
380,InstanceOf,Upstate New York,geographic region
381,SubclassOf,food grain,seed
382,SubclassOf,barley,food grain
383,SubclassOf,pearl barley,barley
384,SubclassOf,cereal,food grain
385,SubclassOf,ricegrass,cereal
386,SubclassOf,mountain rice,ricegrass
387,SubclassOf,smilo,ricegrass
388,SubclassOf,wheat,cereal
389,SubclassOf,emmer,wheat
390,SubclassOf,Triticum aestivum spelta,wheat
391,SubclassOf,bulghur,wheat
392,SubclassOf,cracked wheat,wheat
393,SubclassOf,Secale cereale,cereal
394,SubclassOf,millet,cereal
395,InstanceOf,Big Bend,geographic region
396,SubclassOf,Avena sativa,cereal
397,SubclassOf,Fagopyrum esculentum,pseudocereal
398,SubclassOf,Chenopodium quinoa,pseudocereal
399,SubclassOf,buckwheat,pseudocereal
400,SubclassOf,chickpea,groat
401,SubclassOf,semolina,groat
402,InstanceOf,Serengeti,geographic region
403,SubclassOf,farina,groat
404,SubclassOf,legume,food
405,SubclassOf,chickpea,legume
406,SubclassOf,peanut,legume
407,SubclassOf,Cyamopsis tetragonolobus,legume
408,SubclassOf,soy,legume
409,SubclassOf,wild pea,legume
410,SubclassOf,Lathyrus japonicus,wild pea
411,SubclassOf,pride of California,wild pea
412,SubclassOf,marsh pea,wild pea
413,InstanceOf,Gin rummy,card game
414,SubclassOf,common vetchling,wild pea
415,SubclassOf,Lalthyrus tingitanus,wild pea
416,SubclassOf,Lathyrus hirsutus,wild pea
417,SubclassOf,locoweed,legume
418,SubclassOf,Oxytropis lambertii,locoweed
419,SubclassOf,lentil,legume
420,SubclassOf,bean,legume
421,SubclassOf,shell bean,bean
422,SubclassOf,lima bean,shell bean
423,SubclassOf,tepary bean,shell bean
424,SubclassOf,English bean,shell bean
425,SubclassOf,pole bean,bean
426,SubclassOf,scarlet runner,pole bean
427,SubclassOf,bush bean,bean
428,SubclassOf,common bean plant,bush bean
429,SubclassOf,frijole,common bean plant
430,SubclassOf,green bean,common bean plant
431,SubclassOf,haricot,green bean
432,SubclassOf,wax bean,common bean plant
433,SubclassOf,royal jelly,food
434,InstanceOf,Phase 10,card game
435,InstanceOf,earth,geographic region
436,InstanceOf,Illyria,geographic region
437,InstanceOf,Caribbean,geographic region
438,InstanceOf,Turkistan,geographic region
439,InstanceOf,PAL region,geographic region
440,InstanceOf,Micronesia,geographic region
441,InstanceOf,Cape Fear,geographic region
442,InstanceOf,Uno,card game
443,InstanceOf,poker,card game
444,InstanceOf,Texas hold 'em,card game
445,InstanceOf,blackjack,card game
446,InstanceOf,Canasta,card game
447,InstanceOf,Europe,geographic region
448,InstanceOf,West Africa,geographic region
449,SubclassOf,West,geographic region
